  199,  Gx,   9.900° /   3.117°, Psc,     , 15.0m, 
  200,  Gx,   9.900° /   2.883°, Psc, 2.0', 14.0m, 
I1567,    ,   9.900° /   6.617°, Psc,     ,      , 
  201,  Gx,   9.925° /   0.850°, Cet, 2.2', 15.0m, 
  202,  Gx,   9.925° /   3.517°, Psc,     , 15.0m, 
  203,  Gx,   9.925° /   3.433°, Psc,     , 15.0m, 
I  41,    ,   9.925° / -14.167°, Cet,     ,      , 
  204,  Gx,   9.950° /   3.283°, Psc,     , 14.0m, 
I1568,  Gx,   9.975° /   6.833°, Psc, 0.8', 15.0m, 
  207,    ,  10.000° / -14.300°, Cet,     ,      , 
  212,  Gx,  10.025° / -56.167°, Phe,     ,      , 
  205,  Gx,  10.100° /  41.683°, And,17.4',  8.0m, M 110
  208,  Gx,  10.100° /   2.733°, Psc,     , 15.0m, 
I1569,  Gx,  10.100° /   6.700°, Psc, 0.2', 15.0m, 
  220,  OC,  10.125° / -73.400°, Tuc,     , 11.0m, 
  206, C+N,  10.150° /  40.733°, And,     ,      , 
  210,  Gx,  10.150° / -13.867°, Cet, 5.4', 10.9m, 
  222,  OC,  10.150° / -73.400°, Tuc,     , 11.0m, 
I1570,    ,  10.150° /   6.750°, Psc,     ,      , 
I1571,  Gx,  10.175° /  -0.317°, Cet, 1.3', 15.0m, 
  215,  Gx,  10.200° / -56.217°, Phe, 1.2',      , 
  211,   *,  10.250° /   3.433°, Psc,     ,      , 
  231,  OC,  10.250° / -73.367°, Tuc,     , 12.0m, 
I  42,  Gx,  10.275° / -15.433°, Cet, 0.6', 15.0m, 
  213,  Gx,  10.300° /  16.467°, Psc,     , 15.0m, 
I1572,    ,  10.300° /  16.267°, Psc,     ,      , 
  216,  Gx,  10.350° / -21.050°, Cet, 1.8', 13.3m, 
  214,  Gx,  10.375° /  25.500°, And, 2.1', 12.2m, 
  217,  Gx,  10.375° / -10.033°, Cet, 3.3',      , 
  218,  Gx,  10.450° /  36.350°, And,     , 15.0m, 
I  44,  Gx,  10.550° /   0.850°, Cet, 0.5', 14.0m, 
I1573,    ,  10.550° / -23.533°, Cet,     ,      , 
  219,  Gx,  10.575° /   0.900°, Cet,     , 15.0m, 
  230,  Gx,  10.600° / -23.633°, Cet,     , 15.0m, 
I  43,  Gx,  10.600° /  29.633°, And, 2.1',      , 
  227,  Gx,  10.650° /  -1.533°, Cet, 2.1', 13.0m, 
  221,  Gx,  10.675° /  40.867°, And, 7.6',  8.2m, M  32
  223,  Gx,  10.675° /   0.850°, Cet,     , 14.0m, 
  224,  Gx,  10.675° /  41.267°, And,178.0',  3.5m, Great Nebula in Andromeda/M  31
  232,  Gx,  10.675° / -23.567°, Cet,     , 14.0m, 
I  45,    ,  10.675° /  29.667°, And,     ,      , 
  226,  Gx,  10.700° /  32.567°, And,     , 14.0m, 
  228,  Gx,  10.700° /  23.500°, And,     , 15.0m, 
  235,  Gx,  10.700° / -23.550°, Cet,     , 14.0m, 
I  47,    ,  10.725° / -13.750°, Cet,     ,      , 
  229,  Gx,  10.750° /  23.483°, And,     , 14.0m, 
I  46,  Gx,  10.750° /  27.250°, And,     , 15.0m, 
I1574,  Gx,  10.775° / -22.250°, Cet, 2.5',      , 
  225,  OC,  10.850° /  61.783°, Cas,12.0',  7.0m, 
  233,  Gx,  10.850° /  30.583°, And,     , 14.0m, 
  234,  Gx,  10.850° /  14.333°, Psc,     , 13.0m, 
  238,  Gx,  10.850° / -50.183°, Phe, 1.9',      , 
  241,    ,  10.850° / -73.433°, Tuc,     ,      , 
  236,  Gx,  10.875° /   2.933°, Psc,     , 14.0m, 
  237,  Gx,  10.875° /  -0.117°, Cet, 1.8', 14.0m, 
  242,  OC,  10.900° / -73.450°, Tuc,     , 12.0m, 
I  48,    ,  10.900° /  -7.883°, Cet,     ,      , 
I1575,    ,  10.900° /  -4.150°, Cet,     ,      , 
  188,  OC,  11.000° /  85.333°, Cep,14.0',  8.1m, 
I  49,  Gx,  11.000° /   1.850°, Cet, 1.9',      , 
I1576,  Gx,  11.050° / -25.100°, Scl, 0.6', 15.0m, 
